序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4739,603970,中农立华,13.06,-0.68,-0.09,24037,31428234,1.67,13.18,12.96,13.1,13.15,0.38,0.89,15.03,2.35,3510529750,3510529750,0,-0.23,-7.51,-8.03
4740,688076,诺泰生物,48.07,-0.68,-0.33,21892,105341881,1.59,48.58,47.81,48.36,48.4,0.59,1,26.36,3.95,10564829119,10564829119,-0.19,-0.15,-6.62,-7.42
4741,930,中粮科技,5.84,-0.68,-0.04,195022,113608476.8,1.36,5.86,5.78,5.81,5.88,0.45,1.05,848.06,1.03,10860780533,10840390757,-0.17,0,11.03,5.23
4742,3021,兆威机电,112,-0.68,-0.77,63129,712657057.7,4.24,115.86,111.08,111.61,112.77,0.64,3.06,126.77,8.53,26902792000,23094084160,-0.36,-0.61,19.75,51.54
4743,2951,*ST金时,7.27,-0.68,-0.05,4791,3512461,2.6,7.44,7.25,7.44,7.32,0.98,0.12,-48.16,1.6,2944350000,2944339095,-0.41,-0.41,8.83,8.83
4744,603766,隆鑫通用,11.64,-0.68,-0.08,200088,233732103,2.13,11.83,11.58,11.61,11.72,0.4,0.97,20.78,2.6,23903227134,23903227134,0.09,-0.17,32.57,27.91
4745,300770,新媒股份,37.67,-0.69,-0.26,9620,36334424,1.27,38.03,37.55,37.55,37.93,0.52,0.42,13.12,2.39,8631361342,8631361342,-0.08,-0.11,-3.53,-6.78
4746,415,渤海租赁,2.88,-0.69,-0.02,371316,107156978.1,1.03,2.9,2.87,2.88,2.9,0.46,0.69,19.7,0.57,17811421292,15531712511,0,-0.35,-18.64,-23.61
4747,608,阳光股份,1.44,-0.69,-0.01,256393,37183056.43,6.21,1.49,1.4,1.42,1.45,1.13,3.44,-40.29,0.45,1079875165,1072453837,0,0,-33.64,-36
4748,603690,至纯科技,28.82,-0.69,-0.2,255847,746630877,3.41,29.6,28.61,28.66,29.02,0.57,6.68,43,2.21,11056638813,11037029685,-0.28,-0.28,18.45,14.77
4749,600020,中原高速,4.3,-0.69,-0.03,59729,25638786,1.39,4.33,4.27,4.32,4.33,0.55,0.27,10.98,0.85,9663698878,9663698878,0,0,9.14,1.9
4750,600028,中国石化,5.69,-0.7,-0.04,759299,432058050,1.22,5.73,5.66,5.73,5.73,0.65,0.08,13.72,0.84,6.90092E+11,5.3965E+11,-0.18,0,-9.11,-14.82
4751,603033,三维股份,11.38,-0.7,-0.08,13046,14874370,1.48,11.5,11.33,11.45,11.46,0.37,0.13,163.2,3.39,11734641245,11522602985,0.09,0,-14.95,-10.32
4752,300344,立方数科,8.53,-0.7,-0.06,254019,218180091.5,3.26,8.75,8.47,8.5,8.59,0.54,3.97,-79.58,16.53,5473755728,5452473165,0,0,18.14,91.69
4753,301153,中科江南,23.98,-0.7,-0.17,22279,53740210.96,2.15,24.31,23.79,23.97,24.15,0.6,1.08,80.35,4.78,8391081600,4936729699,-0.25,-0.37,-3.19,-14.17
4754,8,神州高铁,2.8,-0.71,-0.02,753528,211675525,3.19,2.85,2.76,2.8,2.82,0.33,2.81,-31.72,2.25,7605857512,7520868225,-0.36,-0.36,1.45,-3.45
4755,601766,中国中车,6.98,-0.71,-0.05,473080,330579170,1.28,7.05,6.96,6.99,7.03,0.42,0.19,16.17,1.19,2.00318E+11,1.69808E+11,-0.14,-0.14,-7.3,-16.71
4756,2237,恒邦股份,11.24,-0.71,-0.08,535436,616101131.9,5.65,11.85,11.21,11.55,11.32,1.91,5.88,24.04,1.38,12904342656,10233556800,-0.18,-0.18,8.49,11.29
4757,600161,天坛生物,20.88,-0.71,-0.15,232639,485739788,3.33,21.38,20.68,20.85,21.03,0.68,1.18,42.28,3.63,41287515792,41287515792,-0.05,0,7.52,1.85
4758,688373,盟科药业-U,5.58,-0.71,-0.04,54664,30632658,2.31,5.66,5.53,5.57,5.62,0.68,1.49,-8.3,8.3,3658278640,2042543041,0,0.36,13.18,12.96
4759,2157,正邦科技,2.8,-0.71,-0.02,354661,99302399,1.06,2.82,2.79,2.8,2.82,0.36,0.5,64.61,2.23,25900455249,20032700615,-0.36,-0.36,-1.75,-4.11
4760,600900,长江电力,29.19,-0.71,-0.21,686552,1998474249,1.09,29.32,29,29.3,29.4,0.84,0.29,21.96,3.47,7.14227E+11,7.00772E+11,-0.07,-0.07,1.96,-0.51
4761,600674,川投能源,16.79,-0.71,-0.12,158202,264364133,1.71,16.89,16.6,16.89,16.91,0.72,0.32,13.84,1.88,81844648642,81844648642,0.12,0.06,6.13,-2.67
4762,833575,康乐卫士,15.43,-0.71,-0.11,12263,18812829.2,2.51,15.54,15.15,15.4,15.54,0.67,0.65,-9.24,7.77,4334904200,2899295796,0,-0.26,-15.17,-6.65
4763,2821,凯莱英,61.92,-0.72,-0.45,22004,137255146.8,1.97,62.9,61.67,61.9,62.37,0.56,0.68,23.53,1.33,22328067168,19898538011,-0.1,-0.06,-16.31,-18.62
4764,2827,高争民爆,26.21,-0.72,-0.19,30929,81224180.5,1.93,26.58,26.07,26.34,26.4,0.43,1.12,48.82,7.98,7233960000,7233930514,-0.19,-0.27,10.68,3.84
4765,600694,大商股份,26.05,-0.72,-0.19,38627,101600852,2.63,26.66,25.97,25.97,26.24,0.48,1.23,11.63,0.95,8235774475,8155019475,-0.12,-0.23,9.13,-1.21
4766,603699,纽威股份,23.36,-0.72,-0.17,24257,57012948,2.76,23.89,23.24,23.4,23.53,0.48,0.32,16.27,4.47,17953880721,17629555900,0,-0.09,-2.87,5.37
4767,688499,利元亨,23.26,-0.73,-0.17,17229,40288921,1.79,23.59,23.17,23.3,23.43,0.48,1.02,-3.9,1.7,3924625143,3924625143,-0.13,-0.09,10.34,3.98
4768,2276,万马股份,13.6,-0.73,-0.1,493605,674503642.1,1.75,13.79,13.55,13.56,13.7,0.38,4.91,40.6,2.44,13794341770,13669133370,-0.22,-0.29,68.32,60.76
4769,603530,神马电力,22.96,-0.73,-0.17,28684,65687446,2.85,23.31,22.65,23.05,23.13,1.02,0.67,31.94,5.58,9924765988,9814591211,0.04,0.04,-8.16,-7.08
4770,601633,长城汽车,23.17,-0.73,-0.17,103987,240567311,1.11,23.26,23,23.1,23.34,0.6,0.17,15.63,2.52,1.98324E+11,1.43512E+11,-0.13,-0.09,-10.64,-12
4771,300256,星星科技,4.07,-0.73,-0.03,308160,126132143,2.2,4.14,4.05,4.06,4.1,0.47,1.88,-54.25,7.67,9232361081,6688611081,-0.25,-0.25,-6.65,-7.08
4772,600877,电科芯片,12.19,-0.73,-0.09,87579,107475068,1.95,12.39,12.15,12.28,12.28,0.71,0.74,183.61,5.88,14433685207,14433685207,0,-0.08,-4.39,-7.58
4773,603995,甬金股份,17.71,-0.73,-0.13,28346,50361805,1.46,17.92,17.66,17.83,17.84,0.62,0.78,8.04,1.16,6475080541,6475080541,0.06,-0.06,-3.54,-3.17
4774,600050,中国联通,5.43,-0.73,-0.04,1551927,845047792,1.1,5.48,5.42,5.45,5.47,0.66,0.5,18.8,1.03,1.69766E+11,1.67064E+11,-0.18,0,11.96,2.26
4775,300657,弘信电子,25.97,-0.73,-0.19,291185,760633916.2,2.64,26.49,25.8,26.01,26.16,0.74,6.38,466.23,9.78,12682710654,11858011671,-0.04,-0.04,22.67,14.61
4776,603087,甘李药业,43.36,-0.73,-0.32,32734,142244207,1.37,43.85,43.25,43.68,43.68,0.6,0.59,38.53,2.39,26062190974,24017876155,-0.07,-0.05,0.95,-1.68
4777,2122,汇洲智能,4.1,-0.73,-0.03,488714,200976059,2.91,4.18,4.06,4.13,4.13,0.59,2.46,89.56,3.51,8201950575,8149715706,-0.24,0,-2.84,20.59
4778,600415,小商品城,14.84,-0.74,-0.11,390487,578426855,3.21,15.06,14.58,14.71,14.95,0.54,0.71,25.33,3.82,81377305542,81365650206,-0.07,-0.07,13.37,10.66
4779,2956,西麦食品,18.86,-0.74,-0.14,65558,123577489.8,3.47,19.21,18.55,18.91,19,0.6,2.94,29.14,2.82,4210436251,4210010317,-0.21,0.05,17.36,13.14
4780,300660,江苏雷利,48.1,-0.74,-0.36,44362,215076538,2.58,49.15,47.9,48.1,48.46,0.55,1.39,47.83,4.54,15362334277,15350719570,-0.27,-0.25,10.47,25.85
4781,688036,传音控股,84.31,-0.74,-0.63,33413,282434883,2.23,85.29,83.4,83.5,84.94,0.61,0.29,17.2,4.75,96142956978,96142956978,-0.09,-0.05,-9.31,-11.25
4782,300083,创世纪,8.06,-0.74,-0.06,445390,360578134.2,2.22,8.19,8.01,8.01,8.12,0.55,2.98,56.55,2.65,13418792467,12033863825,-0.25,-0.25,26.53,23.81
4783,301479,弘景光电,102.88,-0.74,-0.77,8308,85771807.52,2.11,104.21,102.02,102.02,103.65,0.46,5.85,39.57,5.52,6537681101,1461249599,-0.01,-0.21,145.54,145.54
4784,300961,深水海纳,14.8,-0.74,-0.11,85505,127791517.7,3.55,15.22,14.69,15,14.91,0.47,5.66,-1032.77,2.61,2623744000,2235312198,-0.07,-0.07,50.56,47.26
4785,600163,中闽能源,5.3,-0.75,-0.04,112585,59748538,1.87,5.36,5.26,5.28,5.34,0.88,0.59,18.49,1.53,10085879558,10085879558,0,0,-1.67,-12.97
4786,600278,东方创业,6.61,-0.75,-0.05,181513,120310173,3,6.74,6.54,6.74,6.66,0.49,2.08,23.16,0.76,5802063435,5763361832,0,0,1.85,-5.44
4787,600550,保变电气,7.89,-0.75,-0.06,310032,246864390,2.77,8.08,7.86,7.9,7.95,0.53,1.68,128.31,23.05,14529659707,14529659707,-0.13,-0.38,5.06,0.51
4788,301032,新柴股份,13.25,-0.75,-0.1,77698,103699822,2.92,13.56,13.17,13.35,13.35,0.44,4.9,51.24,2.81,3195017550,2102145956,-0.08,0,42.47,41.11
4789,600993,马应龙,26.63,-0.75,-0.2,34787,92931968,1.64,26.96,26.52,26.72,26.83,0.44,0.81,21.74,2.82,11478965117,11459075836,-0.04,0,3.42,1.99
4790,2286,保龄宝,7.97,-0.75,-0.06,183591,145569623,3.99,8.06,7.74,7.9,8.03,0.48,4.97,21.87,1.46,2947046019,2945640509,0,-0.13,7.85,7.99
4791,600223,福瑞达,7.82,-0.76,-0.06,171960,135005010,2.54,7.96,7.76,7.76,7.88,0.87,1.69,32.64,1.94,7949567821,7949567821,0,-0.13,12.84,3.44
4792,603511,爱慕股份,14.32,-0.76,-0.11,71290,103101791,5.41,14.78,14,14,14.43,2,1.77,30.9,1.33,5821880660,5755026308,-0.07,-0.07,14.47,10.15
4793,2928,华夏航空,7.79,-0.76,-0.06,147180,114811008,2.68,7.91,7.7,7.79,7.85,0.93,1.15,24.36,2.93,9957501675,9957501675,-0.13,-0.26,5.99,0.39
4794,688249,晶合集成,20.82,-0.76,-0.16,77193,161929134,2.48,21.23,20.71,20.75,20.98,0.59,0.66,78.42,2,41767733969,24499539836,-0.05,-0.05,-10.64,-10.8
4795,688331,荣昌生物,45.56,-0.76,-0.35,36538,166692944,4.53,46.88,44.8,45.58,45.91,0.54,2.26,-16.89,12.49,24799769701,7378337759,-0.09,0.04,70,51.31
4796,688206,概伦电子,22.25,-0.76,-0.17,63337,143269247,5.26,23.29,22.11,22.14,22.42,0.7,3.57,-101.32,4.94,9654972426,3942401806,-0.04,-0.09,17.04,17.66
